URL,İlan No,İlan Tarihi,İlçe,İl,Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Takasa Uygun,Kimden
"https://www.arabam.com/ilan/sahibinden-satilik-honda-civic-1-4-i-s/klimali-dusuk-km-boyasiz-civic/35325296","35325296",30 Kasım 2025,"Torbalı","İzmir","430.000 TL","Honda","Civic","1.4 i S","1999","286.000 km","Düz","LPG & Benzin","Sedan","Gri","1396 cc","90 hp","Önden Çekiş","İkinci El","6,8 lt","45 lt","Takasa Uygun","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-hyundai-matrix-1-6-select/sahibinden-hyundai-matrix-1-6-select-2009-model-izmir/31239406","31239406",30 Kasım 2025,"Karşıyaka","İzmir","620.000 TL","Hyundai","Matrix","1.6 Select","2009","62.800 km","Otomatik","LPG & Benzin","MPV","Gri (Gümüş)","1599 cc","103 hp","Önden Çekiş","İkinci El","8,3 lt","55 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-peugeot-206-1-4-hdi-pop-art/sahibinden-peugeot-206-1-4-hdi-pop-art-2005-model-izmir/35323590","35323590",30 Kasım 2025,"Bayraklı","İzmir","305.000 TL","Peugeot","206","1.4 HDi Pop Art","2005","298.000 km","Düz","Dizel","Hatchback/5","Gri (Gümüş)","1398 cc","69 hp","Önden Çekiş","İkinci El","4,3 lt","50 lt","Takasa Uygun","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-jetta-1-6-tdi-trendline/sahibinden-volkswagen-jetta-1-6-tdi-trendline-2015-model/33069619","33069619",30 Kasım 2025,"Bornova","İzmir","1.100.000 TL","Volkswagen","Jetta","1.6 TDi Trendline","2015","123.456 km","Düz","Dizel","Sedan","Beyaz","1598 cc","105 hp","Önden Çekiş","İkinci El","4,5 lt","55 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-fiat-egea-1-3-multijet-easy/sahibinden-fiat-egea-1-3-multijet-easy-2022-model/32683778","32683778",30 Kasım 2025,"Menemen","İzmir","885.000 TL","Fiat","Egea","1.3 Multijet Easy","2022","93.000 km","Düz","Dizel","Sedan","Beyaz","1248 cc","95 hp","Önden Çekiş","İkinci El","4,1 lt","50 lt","Takasa Uygun Değil","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-renault-megane-1-6-dci-gt-line-energy-sport-tourer/sahibinden-renault-megane-1-6-dci-130hp-sport-tourer-gt-line-2014-model/27014616","27014616",30 Kasım 2025,"Buca","İzmir","820.000 TL","Renault","Megane","1.6 dCi GT-Line Energy Sport Tourer","2014","220.000 km","Düz","Dizel","Station wagon","Mavi (metalik)","1461 cc","110 hp","Önden Çekiş","İkinci El","4,4 lt","60 lt","Takasa Uygun","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-renault-scenic-1-6-dynamique/sahibinden-renault-scenic-1-6-dynamique-2005-model/35321371","35321371",30 Kasım 2025,"Karabağlar","İzmir","350.000 TL","Renault","Scenic","1.6 Dynamique","2005","170.000 km","Düz","LPG & Benzin","MPV","Gri (Gümüş)","1598 cc","115 hp","Önden Çekiş","İkinci El","7,2 lt","60 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-mini-cooper-1-6-turkiye-paketi/sahibinden-mini-cooper-1-6-turkiye-paketi-2013-model/35321558","35321558",30 Kasım 2025,"Bornova","İzmir","940.000 TL","Mini","Cooper","1.6 Türkiye Paketi","2013","144.500 km","Otomatik","Benzin","Hatchback/3","Kırmızı","1598 cc","122 hp","Önden Çekiş","İkinci El","6,7 lt","40 lt","Takasa Uygun Değil","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-6-tdci-titanium/sahibinden-ford-focus-1-6-tdci-titanium-2010-model/30623407","30623407",30 Kasım 2025,"Karşıyaka","İzmir","520.000 TL","Ford","Focus","1.6 TDCi Titanium","2010","250.500 km","Düz","Dizel","Hatchback/5","Gri","1560 cc","110 hp","Önden Çekiş","İkinci El","4,5 lt","55 lt","Takasa Uygun","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-opel-corsa-1-4-twinport-enjoy/sahibinden-opel-corsa-1-4-twinport-enjoy-2008-model/35320286","35320286",30 Kasım 2025,"Bergama","İzmir","630.000 TL","Opel","Corsa","1.4 Twinport Enjoy","2008","163.000 km","Otomatik","LPG & Benzin","Hatchback/5","Sarı","1364 cc","90 hp","Önden Çekiş","İkinci El","6,2 lt","45 lt","Takasa Uygun Değil","Sahibinden"
